TimeStamp, Type, State, Seconds, ErrorCode, ErrorMessage, Application, Scope, Mandant, User, Report, SubReportTables, SubReportFields, Tables, Finds, Crit%, ReqRows, Rows, TempIndexCount, TempIndexRecs, OnTheFlyCount, OnTheFlyRecs, Memory, TempMemory, Parameter, Reused, Delayed, SnapshotMeta, RunningReports, OpenReports, Sessions
2023/06/20 10:42:30.628, rep, ok, 0.00130, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=212000106|variantenNummer=0", 31, 0, , 2, 121, 296
2023/06/20 10:42:32.233, rep, ok, 0.01449, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Pruefung_Spezialmaterial\_v1_Pruefung_Spezialmaterial.avw", 0, 0, 6, 6, 100,, 1, 0, 0, 0, 0, 0.06, 0.00, "$Client=8370|$ExportPath=D:\Abacus\abac\tmp_server\peng\4bb895fd-7487-03c0-...|$Scope=DefaultScope|$Type=pdf|$UserFmt='.E.|$UserMsg=de|Parameter1=181502|Parameter2=0", 1, 0, , 2, 121, 298
2023/06/20 10:42:32.599, rep, ok, 11.6804, 0, "", "ABAV", "", 8370, "sa_abacus_wsexport[91]", "D:\Abacus\abac\kd\abav\web\NSW_Export_Verkaufsauftraege_2018_00.avx", 0, 0, 16, 128'387, 1,, 3, 0, 0, 0, 0, 0.06, 0.00, "$Appl=soap|$Client=8370|$Type=xml_value/UTF-8|$UserMsg=de/text|$Year=0", 0, 0, , 2, 121, 297
2023/06/20 10:42:33.611, rep, ok, 0.00141, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\Fusion\O112_Referenzen_Bestellungen.avx", 0, 0, 8, 7, 100,, 1, 0, 0, 0, 0, 0.06, 0.00, "$Client=8370|$Drk=|$Lang=de|$Preview=1|$Scope=DefaultScope|$Type=pdf_page|$UserFmt='.E.|$UserMsg=de|AufNr=181502|AufRNr=0", 38, 0, , 5, 121, 297
2023/06/20 10:42:33.613, rep, ok, 0.00209, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\Fusion\O112_Anzeige_Einlastdatum_Fix.avx", 0, 0, 6, 6, 100,, 1, 0, 0, 0, 0, 0.06, 0.00, "$Client=8370|$Drk=|$Lang=de|$Preview=1|$Scope=DefaultScope|$Type=pdf_page|$UserFmt='.E.|$UserMsg=de|Parameter1=181502|Parameter2=0", 37, 0, , 4, 121, 297
2023/06/20 10:42:33.621, rep, ok, 0.01106, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\Fusion\O112_Referenzen_AVOR_Planung.avx", 0, 0, 12, 27, 100,, 3, 0, 0, 0, 0, 0.06, 0.00, "$Client=8370|$Drk=|$Lang=de|$Preview=1|$Scope=DefaultScope|$Type=pdf_page|$UserFmt='.E.|$UserMsg=de|AufNr=181502|AufRNr=0", 38, 0, , 3, 121, 297
2023/06/20 10:42:33.880, rep, ok, 0.01005, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\SpezMatDienst_bestellen\_v1_Pruefung_Spezialmaterial.avw", 0, 0, 6, 6, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\zent\peng\4bb895fd-7487-03c0-b13...|$Scope=DefaultScope|$Type=abadb-sqlite|$UserFmt='.E.|$UserMsg=de|Parameter1=181502|Parameter2=0", 1, 0, , 3, 122, 298
2023/06/20 10:42:34.097, rep, ok, 0.02899, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\SpezMatDienst_bestellen\Spez_Mat_Dienst_PPS_Ressource_Erfassen.avw", 2, 0, 17, 178, 17,, 1, 0, 0, 0, 0, 0.18, 0.04, "$Client=8370|$ExportPath=D:\Abacus\abac\tmp_server\peng\4bb895fd-7487-03c0-...|$Scope=DefaultScope|$Type=xml_av/utf-8|$UserFmt='.E.|$UserMsg=de|Bestelltyp=11|Parameter1=181502|Parameter2=0", 1, 0, , 3, 122, 298
2023/06/20 10:42:34.635, rep, ok, 0.13785, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\PPS\PPS_ODR_Referenz.avx", 0, 0, 1, 2, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|paNummer=106437", 9, 0, , 3, 122, 298
2023/06/20 10:42:34.950, rep, ok, 0.00904, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\SpezMatDienst_bestellen\_v3_Spez_Mat_Dienst_PPS_Ressource_Erfassen.avw", 0, 0, 7, 16, 25,, 1, 0, 0, 0, 0, 0.06, 0.00, "$Client=8370|$ExportPath=D:\Abacus\abac\tmp_server\peng\4bb895fd-7487-03c0-...|$Scope=DefaultScope|$Type=pdf|$UserFmt='.E.|$UserMsg=de|Parameter1=106437", 2, 0, , 3, 122, 299
